Otu9,Otu11,Otu34,Otu36,Otu39,Otu66,Otu72,Otu74,Otu91,Otu100,Otu134,Otu135,Otu139,Otu145,Otu149,Otu156,Otu188,Otu245,Otu246,Otu256,Otu257,Otu282,Otu292,Otu314,Otu316,Otu318,Otu354,Otu364,Otu370,Otu425,Otu436,Otu443,Otu468,Otu501,Otu513,Otu540,Otu596,Otu603,Otu702,Otu1029,class
0.309061,0,0,0,0,0,0.169903,0,0,0.237864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168285,0,0,0,0,0,0,0,0.114887,TheNetherlands
0.003302,0.234043,0,0.000367,0.122157,0.005136,0.013573,0.002935,0.001834,0.000734,0.096478,0,0.002935,0.005869,0,0.078503,0.093544,0.015774,0,0.048056,0.094644,0.019809,0.010271,0.065297,0,0,0.012106,0.023111,0.006236,0,0,0.001834,0,0.004402,0.01504,0,0,0,0.021277,0.000734,TheNetherlands
0,0,0,0,0,0,0.028169,0,0,0.28169,0.109155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246479,0,0,0,0.06338,0,0,0.25,0,0.014085,0,0,0.007042,TheNetherlands
0.030884,0,0.00852,0.115016,0.009585,0,0.01065,0.469649,0,0.001065,0.037274,0,0.00852,0.080937,0.030884,0.015974,0.047923,0,0,0.031949,0.036209,0,0,0.017039,0,0,0.007455,0,0,0.005325,0,0,0.00852,0.01065,0,0,0.00213,0.00852,0.003195,0.00213,TheNetherlands
0.183578,0,0,0.063418,0.069426,0,0,0.007343,0.010013,0.037383,0.034713,0,0,0.266355,0.102136,0.020027,0.002003,0.022029,0,0.040721,0,0.022029,0,0.104806,0.00534,0,0.003338,0,0,0,0,0,0.000668,0,0,0,0.003338,0.000668,0,0.000668,TheNetherlands
0.00399,0,0,0,0.003192,0,0.09577,0,0,0,0.157223,0,0,0,0,0.085395,0.223464,0,0,0.001596,0,0.007981,0,0,0,0,0.039106,0,0,0,0,0.000798,0,0,0.00399,0.375898,0,0,0,0.001596,TheNetherlands
0,0,0,0.181818,0,0,0,0,0.727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090909,0,0,0,0,0,0,0,0,0,0,0,0,0,TheNetherlands
0.202797,0.013986,0,0.013986,0.020979,0,0.111888,0,0.223776,0.083916,0.006993,0.034965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020979,0,0,0,0.258741,0.006993,0,0,0,0,0,0,0,0,TheNetherlands
0.034247,0,0,0.003425,0,0,0.94863,0,0,0,0,0,0,0.001712,0,0.003425,0.001712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006849,0,0,0,0,TheNetherlands
0.062124,0.43487,0,0,0,0,0,0.008016,0,0.482966,0.006012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006012,0,0,0,0,0,0,0,0,TheNetherlands
0.014678,0.000638,0,0.050415,0,0,0.010849,0.010849,0,0.001276,0,0,0,0.520102,0.285897,0,0,0.003829,0,0,0,0,0.003191,0,0.09381,0,0.002553,0,0,0.000638,0,0.001276,0,0,0,0,0,0,0,0,TheNetherlands
0,0.035949,0,0,0,0,0.002532,0.531139,0.005063,0,0.249114,0.001013,0,0.006582,0,0.051139,0.006582,0,0,0.012152,0.031392,0,0.004557,0.02481,0,0,0,0,0.011139,0.002025,0.005063,0,0,0,0.004051,0.002025,0.010633,0.003038,0,0,TheNetherlands
