Otu3,Otu6,Otu8,Otu22,Otu23,Otu40,Otu55,Otu61,Otu63,Otu70,Otu92,Otu105,Otu108,Otu112,Otu122,Otu124,Otu145,Otu212,Otu217,Otu290,class
0.005587,0.96648,0.002793,0,0,0.002793,0,0,0,0,0,0,0,0,0,0,0,0.022346,0,0,M
0,0.75985,0.136961,0.037523,0.001876,0,0.005629,0,0,0,0.018762,0.001876,0,0.000938,0.003752,0,0.015009,0.015947,0.001876,0,F
0.007411,0.033351,0.002118,0,0.890418,0,0,0,0,0,0,0,0,0,0,0,0,0.066702,0,0,F
0,0.016625,0.035376,0.000387,0.00116,0.209356,0.080997,0.020878,0.20259,0.067659,0.034409,0.045042,0.011405,0.007153,0.040209,0.209743,0.014692,0.00116,0.00116,0,F
0.000442,0.004419,0.136544,0.029607,0.0654,0.077331,0.160848,0,0.022095,0,0.005303,0.011489,0.000442,0.053469,0.120194,0,0.176315,0.019885,0,0.116217,M
0,0.030435,0.656522,0.002899,0.171014,0.002899,0,0,0.001449,0,0.004348,0,0,0,0,0.007246,0,0.113043,0.007246,0.002899,M
0.916442,0,0.070081,0,0,0,0,0,0.002695,0,0,0.005391,0.002695,0.002695,0,0,0,0,0,0,M
0.003422,0.000428,0.159431,0,0.000321,0.000107,0,0.001711,0.70263,0.085543,0.007806,0.004063,0,0,0.026839,0,0,0.000321,0.003849,0.003529,F
0,0,0.364634,0.000104,0,0.027125,0.009835,0,0.001449,0.025986,0,0.001242,0.550368,0,0.002795,0.004141,0.000104,0,0.005694,0.006522,M
0,0.448238,0.420705,0.003304,0,0,0.028634,0,0,0,0,0.001101,0,0,0,0.003304,0,0.094714,0,0,F
0,0.138477,0.279674,0.000495,0,0,0.000247,0,0.060584,0,0.000495,0.017557,0.038576,0.240851,0.020277,0,0.201533,0,0.001236,0,M
0,0.009243,0.153697,0.087059,0,0.272786,0.095013,0.018272,0.175838,0.002794,0.05417,0,0,0.038693,0.076096,0.004729,0.002794,0,0.00129,0.007524,M
0.000956,0.00041,0.124522,0.396641,0,0,0.078099,0.022256,0.203168,0.022665,0.012835,0.079055,0.001229,0.052294,0,0,0.000273,0.00041,0.000546,0.004642,M
0.005405,0.816216,0.016216,0,0.07027,0,0.027027,0,0,0.027027,0,0,0,0,0,0,0,0.037838,0,0,M
0.011974,0,0.262488,0.003555,0,0.011787,0.231244,0.001123,0.188775,0.000374,0.08812,0.08232,0.006174,0.064172,0.014967,0,0.003555,0.00898,0.006735,0.013658,F
0,0.236364,0.054545,0,0,0,0,0.636364,0,0,0,0,0.072727,0,0,0,0,0,0,0,M
0,0.019837,0.149358,0,0.126021,0,0.024504,0.004667,0.459743,0.003501,0.02042,0.012252,0,0.055426,0.004667,0,0.011669,0.068845,0.03734,0.00175,M
0.005275,0,0.61295,0,0.002728,0,0.050018,0,0,0,0.001273,0,0.304656,0,0,0,0.004547,0.002001,0.016551,0,M
0.004364,0.104738,0.142145,0,0.676434,0.004364,0,0,0,0,0.01808,0.011845,0,0,0.000623,0,0,0.037406,0,0,F
0.00083,0.034979,0.294898,0.005115,0,0.330292,0.023365,0.012581,0.096226,0.00318,0.071201,0.008987,0.00235,0.066224,0.039126,0.000691,0.000415,0,0.001659,0.007881,M
0,0.137577,0.322382,0,0.199179,0.119097,0.024641,0,0,0.014374,0,0,0.002053,0.039014,0,0.020534,0,0.110883,0,0.010267,M
0.001106,0.005531,0.39233,0,0.00885,0.04351,0.003687,0,0.000369,0.012906,0.001106,0.050516,0.029499,0.003319,0.001844,0.41556,0.000369,0.028024,0.000369,0.001106,F
0,0.017291,0.118156,0.066282,0.083573,0.282421,0.008646,0,0.037464,0.011527,0.181556,0.040346,0.002882,0,0.028818,0.011527,0.074928,0.034582,0,0,F
0,0.031048,0.641935,0.201613,0.002823,0,0.024194,0,0.009274,0,0.00121,0,0.057661,0,0,0,0,0.028629,0.001613,0,M
0.004566,0.146119,0.173516,0.223744,0,0.109589,0,0,0,0,0.127854,0.009132,0.077626,0,0,0,0,0.114155,0.009132,0.004566,F
0,0.000436,0.488458,0,0.002178,0.194251,0,0,0.008057,0.002395,0.09081,0.001742,0.184887,0,0.01176,0.002395,0.012195,0.000218,0,0.000218,M
0,0,0.08,0.033333,0,0.013333,0,0,0.02,0,0.013333,0.006667,0,0,0,0,0.74,0.093333,0,0,M
0,0.00365,0.79927,0.029197,0.040146,0,0.032847,0.001825,0,0.001825,0.067518,0.014599,0,0,0,0,0,0.001825,0.001825,0.005474,M
0.045577,0.002026,0.705942,0.002026,0.198177,0,0,0.001013,0,0,0.000675,0.040513,0,0,0,0,0,0.000675,0.002701,0.000675,M
0.000349,0,0.031381,0.246862,0.000174,0.425907,0.050035,0,0.017957,0.045851,0.041318,0.11175,0.000349,0.014121,0,0.007497,0,0.005404,0,0.001046,F
0,0,0.197703,0,0.763191,0,0,0,0,0.002173,0,0,0.009932,0,0,0,0,0.027002,0,0,M
0.005369,0.181208,0.21745,0.053691,0,0,0.001342,0.001342,0,0.010738,0.005369,0.005369,0.072483,0,0.002685,0.002685,0.377181,0.04698,0.016107,0,M
0,0.000665,0.100183,0,0,0.356371,0.060475,0,0.189899,0.012128,0.027413,0.076092,0.107991,0.020768,0,0.036551,0.005316,0.000166,0,0.005981,M
0,0.304965,0.416076,0,0,0,0.028369,0.021277,0.002364,0,0.004728,0,0,0,0.007092,0,0.182033,0.033097,0,0,M
